scenario,scenario_code,deployment_entry,mapped_scheme,record_type,iteration,tamper_field,tamper_name,payload_bytes,policy_accept,policy_reason,verify_success_baseline,verify_total_baseline,tampered_message_reject_baseline,tampered_signature_reject_baseline,sign_mean_ms,verify_mean_ms,verify_p95_ms,verify_throughput_sig_s,pk_bytes,sig_bytes
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,26,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,26,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,27,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,27,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,27,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,27,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,28,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,28,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,28,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,28,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,29,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,29,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,29,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,29,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,30,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,30,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,30,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,30,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,31,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,31,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,31,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,31,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,32,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,32,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,32,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,32,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,33,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,33,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,33,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,33,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
